ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
443762378;8604205;14/05/2019
442211732;15655;09/05/2019
442211732;39326663;10/05/2019
441335719;15655;08/05/2019
441335719;915367;08/05/2019
441335719;15655;08/05/2019
441335719;8604205;08/05/2019
441335719;915367;08/05/2019
437074771;8604205;25/04/2019
437004076;8604205;27/04/2019
433569323;8604205;16/04/2019
429358227;747421;04/04/2019
429358227;8604205;07/04/2019
429358227;747421;10/04/2019
426958056;8604205;29/03/2019
426470615;8604205;28/03/2019
425308986;5384588;26/03/2019
425308986;5384588;26/03/2019
425308986;5384588;26/03/2019
425308986;5384588;26/03/2019
425308986;8604205;26/03/2019
425308986;20816524;26/03/2019
424033048;8604205;22/03/2019
420990012;7892462;14/03/2019
420990012;8604205;14/03/2019
420990012;15655;14/03/2019
420483768;15655;22/03/2019
418694722;8604205;08/03/2019
417283032;5384588;05/03/2019
417283032;5384588;05/03/2019
417283032;8604205;05/03/2019
417157815;8604205;05/03/2019
417148627;8604205;05/03/2019
417147684;8604205;05/03/2019
417138226;8604205;05/03/2019
417138226;19818679;05/03/2019
417136902;19818679;05/03/2019
417129397;19818679;05/03/2019
417129397;8604205;05/03/2019
416718302;15655;04/03/2019
416715126;15655;04/03/2019
416714736;5384588;04/03/2019
416714736;5384588;04/03/2019
416659758;5384588;04/03/2019
416659758;5384588;04/03/2019
416659758;15655;04/03/2019
416659758;19818679;04/03/2019
416659758;15655;04/03/2019
416382812;8604205;02/03/2019
416154311;8604205;02/03/2019
414999550;5384588;27/02/2019
414999550;5384588;27/02/2019
414999550;1485453;27/02/2019
414999550;1485453;27/02/2019
414999550;5384588;27/02/2019
414999550;5384588;27/02/2019
414999550;15655;27/02/2019
413968094;1153097;25/02/2019
413664221;5384588;23/02/2019
413664221;5384588;23/02/2019
413664221;14115483;23/02/2019
413664221;5384588;23/02/2019
413664221;5384588;23/02/2019
413664221;1153097;23/02/2019
413664221;14115483;23/02/2019
413664221;1153097;23/02/2019
413664221;14115483;25/02/2019
412628683;19818679;05/03/2019
412237463;5384588;20/02/2019
412237463;5384588;20/02/2019
412237463;1153097;23/02/2019
412144880;4062744;19/02/2019
412144880;8604205;19/02/2019
412144880;1050799;06/03/2019
412144880;8604205;06/03/2019
411075321;5384588;04/03/2019
411075321;5384588;04/03/2019
411075321;19818679;04/03/2019
411075321;19818679;04/03/2019
411075321;15655;04/03/2019
411075321;19818679;04/03/2019
411075321;15655;04/03/2019
411075321;19818679;04/03/2019
411075321;5384588;05/03/2019
411075321;5384588;05/03/2019
411075321;8604205;05/03/2019
411073339;15655;24/02/2019
410895668;1153097;25/02/2019
410895668;19818679;04/03/2019
410895668;1153097;04/03/2019
410895668;19818679;04/03/2019
410895668;1153097;04/03/2019
408319656;1153097;09/02/2019
408319656;4192886;11/02/2019
408319656;17415047;11/02/2019
408319656;3506071;13/02/2019
408319656;19818679;18/02/2019
408319656;1153097;19/02/2019
408319656;4192886;19/02/2019
408319656;1153097;21/02/2019
407046680;1758366;06/02/2019
407046680;489221;06/02/2019
407046680;15655;06/02/2019
407046680;8604205;06/02/2019
406614095;1758366;06/02/2019
406209999;8604205;04/02/2019
405533639;8604205;01/02/2019
404705679;15655;31/01/2019
404705679;47175270;31/01/2019
404705679;15655;01/02/2019
404705679;1153097;09/02/2019
404633193;896472;30/01/2019
404633193;45258038;30/01/2019
404633193;8604205;30/01/2019
404633193;45258038;30/01/2019
404633193;8604205;30/01/2019
403407654;5384588;26/01/2019
403407654;5384588;26/01/2019
403407654;1153097;29/01/2019
403407654;9667758;29/01/2019
402575724;8604205;24/01/2019
402217244;2146903;23/01/2019
402217244;16258536;23/01/2019
402217244;10829855;23/01/2019
402217244;10829855;23/01/2019
401196732;2146903;21/01/2019
401196732;8604205;21/01/2019
401196732;236919;24/01/2019
400899894;13606342;18/01/2019
400899894;1153097;21/01/2019
400899894;13606342;21/01/2019
400729028;13606342;18/01/2019
400729028;2146903;19/01/2019
