;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
763;95713;0.0007906388361796331;0.01767676767676768;0.003477051460361613;0.01803283427877318;4;4;4
743;92698;0.003478810879190386;0.01767676767676768;0.0;0.018015833054055314;4;4;1
2430;441982;0.003320683111954459;0.01767676767676768;0.0;0.017985968192689494;4;4;1
970;127199;0.003004427577482606;0.01767676767676768;0.0013908205841446453;0.017984134187222833;4;4;4
7148;2513193;0.0031625553447185324;0.01767676767676768;0.0006954102920723226;0.017970906134114287;4;4;4
5850;1614531;0.0031625553447185324;0.01767676767676768;0.0;0.01795744613821315;4;4;1
4666;1116431;0.003004427577482606;0.01767676767676768;0.0006954102920723226;0.01794375367756359;4;4;4
967;126338;0.003004427577482606;0.01767676767676768;0.0;0.017930273298719032;4;4;1
1221;164650;0.0006325110689437065;0.01767676767676768;0.0027816411682892906;0.0179054660185061;4;4;4
6049;1702725;0.002530044275774826;0.01767676767676768;0.0;0.01785691013405734;4;4;1
1014;133055;0.0023719165085388993;0.01767676767676768;0.0006954102920723226;0.017848745023004226;4;4;4
10204;7564255;0.0023719165085388993;0.01767676767676768;0.0;0.017835192833885984;4;4;1
8392;4100142;0.002213788741302973;0.01767676767676768;0.0;0.017814852682229466;4;4;1
604;69181;0.0015812776723592662;0.01767676767676768;0.0013908205841446453;0.017801767790666213;4;4;4
4789;1162531;0.0015812776723592662;0.01767676767676768;0.0013908205841446453;0.017801767790666213;4;4;4
4095;917091;0.0018975332068311196;0.01767676767676768;0.0006954102920723226;0.017791917919206056;4;4;4
8036;3580270;0.0018975332068311196;0.01767676767676768;0.0;0.017778322411561936;4;4;1
957;124937;0.012017710309930424;0.012626262626262628;0.003477051460361613;0.01777463799515386;4;4;4
5701;1536450;0.0007906388361796331;0.01767676767676768;0.0013908205841446453;0.01774901707602352;4;4;4
5661;1523570;0.0006325110689437065;0.01767676767676768;0.0013908205841446453;0.017742676451089203;4;4;4
8174;3799193;0.0014231499051233396;0.01767676767676768;0.0;0.017733963774375746;4;4;1
3827;835750;0.001265022137887413;0.01767676767676768;0.0;0.01772197496070243;4;4;1
5444;1434575;0.0009487666034155598;0.01767676767676768;0.0006954102920723226;0.017715864896766836;4;4;4
1265;173132;0.0011068943706514865;0.01767676767676768;0.0;0.01771138985642286;4;4;1
1704;260190;0.0009487666034155598;0.01767676767676768;0.0;0.017702210979597306;4;4;1
4937;1225659;0.0007906388361796331;0.01767676767676768;0.0;0.017694440518640144;4;4;1
3748;813661;0.0007906388361796331;0.01767676767676768;0.0;0.017694440518640144;4;4;1
7593;3028067;0.00031625553447185326;0.01767676767676768;0.0;0.01767959651862855;3;4;1
1469;210413;0.006641366223908918;0.015151515151515152;0.0;0.016543160420750064;4;4;1
2659;495855;0.006008855154965212;0.015151515151515152;0.0006954102920723226;0.016314360150930386;4;4;4
2943;573668;0.005850727387729285;0.015151515151515152;0.0;0.016241903286010502;4;4;1
11430;17022048;0.0039531941808981655;0.015151515151515152;0.003477051460361613;0.01604013848058935;4;4;4
7889;3374574;0.004111321948134092;0.015151515151515152;0.0006954102920723226;0.015714801144848203;4;4;4
9815;6469315;0.002055660974067046;0.015151515151515152;0.003477051460361613;0.01568069004492144;4;4;4
2332;417674;0.0039531941808981655;0.015151515151515152;0.0;0.01565874055020008;4;4;1
1735;273283;0.003795066413662239;0.015151515151515152;0.0;0.015619569151250633;4;4;1
7732;3186360;0.003795066413662239;0.015151515151515152;0.0;0.015619569151250633;4;4;1
3700;800583;0.0036369386464263124;0.015151515151515152;0.0;0.015581904059018669;4;4;1
10796;10270403;0.0036369386464263124;0.015151515151515152;0.0;0.015581904059018669;4;4;1
5437;1430726;0.002688172043010753;0.015151515151515152;0.002086230876216968;0.01552890980037874;4;4;4
4431;1036808;0.003004427577482606;0.015151515151515152;0.0013908205841446453;0.015509009586437545;4;4;4
2292;406631;0.0028462998102466793;0.015151515151515152;0.0013908205841446453;0.01547915423702742;4;4;4
5489;1448365;0.001265022137887413;0.015151515151515152;0.0027816411682892906;0.015456591473706623;4;4;4
2912;564868;0.002688172043010753;0.015151515151515152;0.0013908205841446453;0.01545085959475065;4;4;4
1222;164814;0.0028462998102466793;0.015151515151515152;0.0006954102920723226;0.015432220497087373;4;4;4
75;4734;0.0007906388361796331;0.015151515151515152;0.0027816411682892906;0.01542501373564998;4;4;4
9937;6764335;0.00031625553447185326;0.015151515151515152;0.0027816411682892906;0.015407983532532709;3;4;4
